,-100 s,-99 s,-98 s,-97 s,-96 s,-95 s,-94 s,-93 s,-92 s,-91 s,-90 s,-89 s,-88 s,-87 s,-86 s,-85 s,-84 s,-83 s,-82 s,-81 s,-80 s,-79 s,-78 s,-77 s,-76 s,-75 s,-74 s,-73 s,-72 s,-71 s,-70 s,-69 s,-68 s,-67 s,-66 s,-65 s,-64 s,-63 s,-62 s,-61 s,-60 s,-59 s,-58 s,-57 s,-56 s,-55 s,-54 s,-53 s,-52 s,-51 s,-50 s,-49 s,-48 s,-47 s,-46 s,-45 s,-44 s,-43 s,-42 s,-41 s,-40 s,-39 s,-38 s,-37 s,-36 s,-35 s,-34 s,-33 s,-32 s,-31 s,-30 s,-29 s,-28 s,-27 s,-26 s,-25 s,-24 s,-23 s,-22 s,-21 s,-20 s,-19 s,-18 s,-17 s,-16 s,-15 s,-14 s,-13 s,-12 s,-11 s,-10 s,-9 s,-8 s,-7 s,-6 s,-5 s,-4 s,-3 s,-2 s,-1 s,0 s,1 s,2 s,3 s,4 s,5 s,6 s,7 s,8 s,9 s,10 s,11 s,12 s,13 s,14 s,15 s,16 s,17 s,18 s,19 s,20 s,21 s,22 s,23 s,24 s,25 s,26 s,27 s,28 s,29 s,30 s,31 s,32 s,33 s,34 s,35 s,36 s,37 s,38 s,39 s,40 s,41 s,42 s,43 s,44 s,45 s,46 s,47 s,48 s,49 s,50 s,51 s,52 s,53 s,54 s,55 s,56 s,57 s,58 s,59 s,60 s,61 s,62 s,63 s,64 s,65 s,66 s,67 s,68 s,69 s,70 s,71 s,72 s,73 s,74 s,75 s,76 s,77 s,78 s,79 s,80 s,81 s,82 s,83 s,84 s,85 s,86 s,87 s,88 s,89 s,90 s,91 s,92 s,93 s,94 s,95 s,96 s,97 s,98 s,99 s,100 s
第202节龙身y (m),9.29358,10.077133,10.820425,11.5205,12.174564,12.779994,13.334352,13.835393,14.281076,14.669576,14.999287,15.268834,15.477076,15.623116,15.706303,15.726236,15.68277,15.576013,15.40633,15.174345,14.880935,14.527229,14.114609,13.644702,13.119372,12.540721,11.911075,11.23298,10.509189,9.742655,8.936517,8.09409,7.218852,6.31443,5.384583,4.433192,3.46424,2.481799,1.49001,0.493068,-0.504795,-1.499332,-2.486292,-3.461444,-4.420594,-5.359602,-6.274402,-7.161016,-8.015577,-8.834343,-9.613717,-10.350258,-11.040702,-11.681978,-12.271217,-12.805772,-13.283225,-13.701405,-14.058395,-14.352544,-14.582474,-14.747089,-14.845583,-14.877442,-14.84245,-14.740693,-14.572557,-14.338731,-14.040204,-13.678263,-13.254489,-12.77075,-12.229197,-11.632252,-10.982603,-10.283189,-9.537189,-8.748012,-7.919275,-7.054797,-6.158575,-5.234767,-4.287678,-3.321735,-2.341472,-1.351504,-0.356509,0.638794,1.629671,2.611391,3.579251,4.528598,5.454854,6.353535,7.220279,8.05086,8.841218,9.587474,10.285953,10.933202,11.526011,12.053451,12.514967,12.923683,13.274587,13.560631,13.778858,13.929863,14.011579,14.024032,13.960218,13.853866,13.748326,13.597811,13.303816,12.776949,12.244293,11.744088,11.1406,10.523112,9.835336,9.075908,8.327485,7.464079,6.618199,5.72439,4.766942,3.860363,2.84848,1.880872,0.898321,-0.133594,-1.080447,-2.107219,-3.070131,-4.011117,-4.980178,-5.841741,-6.745257,-7.573276,-8.346585,-9.120039,-9.779294,-10.436109,-11.012852,-11.513785,-11.982312,-12.346574,-12.666168,-12.905969,-13.066108,-13.160497,-13.174759,-13.113731,-12.97554,-12.773133,-12.476116,-12.132735,-11.701683,-11.197834,-10.662046,-10.013113,-9.355427,-8.618559,-7.815875,-7.024044,-6.115944,-5.23473,-4.301704,-3.31429,-2.382225,-1.349031,-0.371727,0.617581,1.64343,2.57707,3.579109,4.505564,5.401398,6.308441,7.101793,7.91807,8.648795,9.314123,9.958678,10.487706,10.990281,11.405406,11.737428,12.013356,12.191311,12.301055,12.326472,12.273647,12.131738,11.924345,11.625552,11.24814,10.819837,10.278875,9.713164
第203节龙身x (m),-13.914519,-13.379392,-12.792681,-12.156624,-11.473662,-10.746425,-9.977727,-9.170555,-8.328054,-7.453522,-6.550392,-5.622224,-4.672687,-3.705547,-2.724654,-1.733924,-0.737325,0.261138,1.257441,2.247554,3.227459,4.19317,5.140741,6.06629,6.966013,7.836198,8.673243,9.473669,10.234139,10.951468,11.622642,12.244825,12.815379,13.33187,13.792083,14.194032,14.535967,14.816386,15.034042,15.187947,15.277382,15.301897,15.261319,15.15575,14.98557,14.75144,14.454294,14.095342,13.676065,13.198209,12.663779,12.075036,11.43448,10.744849,10.009105,9.230419,8.412166,7.557903,6.671359,5.75642,4.817111,3.857577,2.88207,1.894926,0.900549,-0.09661,-1.092071,-2.081348,-3.059966,-4.023483,-4.967512,-5.887736,-6.779936,-7.640003,-8.463964,-9.247996,-9.988449,-10.681859,-11.324971,-11.91475,-12.4484,-12.923377,-13.337401,-13.688474,-13.974882,-14.195215,-14.348367,-14.433547,-14.450286,-14.398436,-14.27818,-14.090027,-13.834812,-13.5137,-13.128172,-12.680032,-12.171389,-11.604656,-10.982535,-10.308011,-9.584334,-8.827462,-8.044346,-7.213276,-6.337719,-5.430729,-4.502054,-3.548548,-2.581689,-1.602702,-0.546321,0.287357,0.879275,1.551992,2.579683,3.971161,5.077901,5.954342,6.868164,7.682943,8.480374,9.25332,9.924135,10.603428,11.18382,11.716239,12.203432,12.591859,12.947121,13.213301,13.412427,13.545621,13.599431,13.582613,13.49346,13.334264,13.090702,12.800369,12.413002,11.973583,11.478618,10.886284,10.287606,9.582385,8.845666,8.083118,7.219145,6.390114,5.465112,4.527227,3.602676,2.584598,1.637096,0.622236,-0.388408,-1.345642,-2.375082,-3.308971,-4.26983,-5.209506,-6.063801,-6.956525,-7.742208,-8.511565,-9.241775,-9.870175,-10.494665,-11.014299,-11.481261,-11.889896,-12.200044,-12.46201,-12.632778,-12.7301,-12.75001,-12.694451,-12.552934,-12.341505,-12.056705,-11.678505,-11.263155,-10.739106,-10.16965,-9.548245,-8.824757,-8.109986,-7.285359,-6.439154,-5.579137,-4.620014,-3.71382,-2.720307,-1.726288,-0.764268,0.279176,1.23484,2.237048,3.220046,4.129327,5.087343,5.937284
第203节龙身y (m),7.918755,8.761962,9.570111,10.340009,11.068603,11.752993,12.390442,12.978391,13.514468,13.996499,14.422516,14.790769,15.099732,15.34811,15.534848,15.659132,15.720399,15.718336,15.652886,15.524246,15.332871,15.079472,14.765015,14.390717,13.958046,13.46871,12.924658,12.328069,11.681348,10.987112,10.248185,9.467586,8.648516,7.794348,6.908612,5.994982,5.057261,4.099368,3.125318,2.139206,1.145196,0.147496,-0.849655,-1.842007,-2.825314,-3.795358,-4.74796,-5.679005,-6.584456,-7.460372,-8.302929,-9.108433,-9.873338,-10.594266,-11.268018,-11.891591,-12.462192,-12.977252,-13.434439,-13.831668,-14.167114,-14.43922,-14.646705,-14.788572,-14.864117,-14.872929,-14.814895,-14.690206,-14.499353,-14.243128,-13.922624,-13.539229,-13.094625,-12.590778,-12.029933,-11.414605,-10.747569,-10.031847,-9.2707,-8.467608,-7.626261,-6.750537,-5.844492,-4.912334,-3.958413,-2.987192,-2.003234,-1.011177,-0.015714,0.978432,1.966525,2.943845,3.905705,4.847479,5.764621,6.652688,7.507367,8.324489,9.100057,9.830264,10.511512,11.130949,11.687207,12.19605,12.65204,13.046561,13.375498,13.639824,13.836112,13.964246,14.024898,14.016509,13.980383,13.908612,13.734604,13.369568,12.965056,12.565924,12.067379,11.543023,10.94592,10.273835,9.600672,8.812817,8.03079,7.194777,6.289268,5.423104,4.446892,3.504503,2.538932,1.515616,0.56831,-0.468148,-1.449145,-2.416672,-3.422887,-4.32661,-5.284617,-6.173066,-7.013346,-7.865922,-8.60434,-9.35364,-10.026316,-10.625962,-11.205747,-11.676276,-12.113949,-12.47301,-12.750301,-12.973253,-13.106776,-13.173083,-13.161288,-13.078213,-12.909099,-12.681341,-12.36881,-11.980389,-11.549075,-11.008764,-10.446119,-9.801702,-9.086056,-8.368409,-7.533145,-6.71159,-5.831083,-4.888272,-3.988583,-2.98071,-2.01738,-1.032399,-0.000471,0.948342,1.977415,2.939479,3.880359,4.844913,5.699797,6.592259,7.40457,8.157941,8.904056,9.53266,10.149374,10.680953,11.130746,11.537416,11.838384,12.082471,12.241786,12.318079,12.315704,12.235633,12.069857,11.822377,11.513745,11.098266,10.643287
第204节龙身x (m),-14.680487,-14.234969,-13.734628,-13.181354,-12.577253,-11.924634,-11.226004,-10.484059,-9.701673,-8.881888,-8.027906,-7.143071,-6.230862,-5.294878,-4.338824,-3.366496,-2.381767,-1.388574,-0.3909,0.607244,1.601828,2.588826,3.564231,4.524066,5.464408,6.381401,7.271269,8.130339,8.95505,9.74197,10.487814,11.189455,11.84394,12.4485,13.000566,13.497781,13.938007,14.319339,14.640114,14.898916,15.094588,15.226234,15.293229,15.295219,15.232125,15.104146,14.911759,14.65572,14.33706,13.957081,13.517358,13.019727,12.466283,11.859368,11.201567,10.495697,9.744792,8.952095,8.121045,7.255261,6.358526,5.434776,4.488078,3.522617,2.542673,1.552608,0.556844,-0.440157,-1.433911,-2.419936,-3.393766,-4.350977,-5.287205,-6.198167,-7.079679,-7.927679,-8.738245,-9.507612,-10.232195,-10.908601,-11.533649,-12.104388,-12.618107,-13.072354,-13.464946,-13.793983,-14.057856,-14.255259,-14.385196,-14.446987,-14.440275,-14.365026,-14.221536,-14.010428,-13.732651,-13.389479,-12.982507,-12.513644,-11.985106,-11.399406,-10.759345,-10.079273,-9.365917,-8.599524,-7.782896,-6.927982,-6.043966,-5.127817,-4.190517,-3.233246,-2.191247,-1.362343,-0.77028,-0.093791,0.947234,2.372038,3.518798,4.436289,5.402718,6.273929,7.136623,7.984007,8.730212,9.49861,10.168241,10.796817,11.388948,11.878451,12.348386,12.725981,13.039956,13.295612,13.463457,13.572143,13.602493,13.561855,13.442355,13.264143,12.996402,12.668694,12.280137,11.796613,11.292967,10.685068,10.036645,9.353737,8.567858,7.803289,6.939529,6.05335,5.170348,4.187866,3.264349,2.26567,1.261461,0.301353,-0.741158,-1.696235,-2.68874,-3.669815,-4.571647,-5.525422,-6.375922,-7.220674,-8.035738,-8.750197,-9.47587,-10.09595,-10.671467,-11.197271,-11.620062,-12.009122,-12.302225,-12.525473,-12.678215,-12.745608,-12.738345,-12.65331,-12.492986,-12.243346,-11.942816,-11.539614,-11.08114,-10.563646,-9.944188,-9.318131,-8.58177,-7.812971,-7.019833,-6.122888,-5.264532,-4.31218,-3.34815,-2.40485,-1.370412,-0.41262,0.602755,1.610055,2.552546,3.55775,4.461258
第204节龙身y (m),6.457319,7.351115,8.215402,9.046785,9.841987,10.597864,11.311412,11.979789,12.600318,13.170503,13.688041,14.150828,14.556971,14.904797,15.192859,15.419947,15.585086,15.687552,15.726866,15.702805,15.6154,15.464937,15.25196,14.977269,14.641918,14.247211,13.794698,13.286174,12.723668,12.109437,11.445961,10.735929,9.982235,9.187961,8.356369,7.490888,6.595099,5.672723,4.727604,3.763694,2.785039,1.79576,0.800036,-0.197912,-1.193839,-2.183496,-3.162645,-4.127079,-5.072641,-5.99524,-6.890873,-7.755636,-8.58575,-9.377571,-10.127609,-10.832548,-11.489254,-12.094797,-12.646461,-13.141757,-13.578439,-13.95451,-14.268238,-14.518159,-14.703093,-14.822143,-14.874705,-14.860471,-14.779435,-14.63189,-14.418431,-14.139955,-13.797658,-13.39303,-12.92785,-12.404182,-11.824365,-11.191004,-10.506961,-9.77534,-8.99948,-8.182933,-7.329455,-6.442987,-5.527637,-4.587665,-3.627458,-2.651517,-1.664429,-0.670854,0.324507,1.316923,2.301665,3.274024,4.229334,5.162995,6.0705,6.947449,7.789579,8.592783,9.35313,10.056021,10.699304,11.301167,11.855822,12.353211,12.788124,13.161903,13.469814,13.711606,13.895606,13.985075,14.018705,14.026496,13.974622,13.776143,13.505149,13.212463,12.825645,12.401614,11.903434,11.328039,10.739552,10.038329,9.331213,8.564872,7.72423,6.910904,5.984427,5.080897,4.146342,3.146565,2.212698,1.181819,0.197248,-0.782444,-1.810795,-2.743128,-3.741198,-4.67663,-5.571102,-6.489767,-7.296002,-8.126207,-8.884358,-9.573334,-10.255236,-10.824551,-11.373276,-11.845757,-12.235612,-12.583341,-12.833742,-13.026024,-13.140484,-13.177741,-13.138866,-13.030032,-12.840672,-12.57356,-12.253331,-11.830008,-11.371195,-10.829369,-10.2121,-9.580081,-8.831049,-8.082406,-7.268697,-6.38586,-5.53329,-4.567339,-3.63393,-2.669661,-1.648909,-0.700865,0.337866,1.319208,2.289083,3.294605,4.19628,5.149454,6.029185,6.857379,7.691878,8.408877,9.128678,9.767101,10.326448,10.856337,11.274653,11.648372,11.938366,12.142042,12.278835,12.327149,12.296985,12.183527,11.999813,11.71701,11.380746
第205节龙身x (m),-15.292222,-14.940876,-14.532065,-14.067314,-13.548374,-12.977212,-12.356004,-11.687129,-10.97316,-10.216856,-9.421152,-8.589144,-7.724086,-6.829371,-5.90852,-4.965169,-4.003057,-3.026009,-2.037921,-1.042747,-0.044481,0.952857,1.945237,2.928639,3.899063,4.852551,5.785201,6.693184,7.572758,8.420287,9.232253,10.005275,10.73612,11.421722,12.059189,12.645822,13.179123,13.65681,14.076827,14.437349,14.7368,14.973853,15.147441,15.256762,15.301283,15.280746,15.195169,15.044847,14.830353,14.552539,14.21253,13.811723,13.351785,12.83464,12.26247,11.637704,10.963006,10.241269,9.475601,8.669314,7.82591,6.949066,6.042619,5.110551,4.156972,3.1861,2.202247,1.209795,0.213181,-0.783124,-1.774635,-2.756873,-3.725388,-4.675774,-5.603694,-6.504898,-7.375244,-8.210717,-9.007448,-9.761735,-10.470056,-11.129093,-11.735744,-12.287138,-12.780656,-13.213937,-13.584896,-13.891733,-14.132945,-14.307332,-14.414009,-14.452407,-14.42228,-14.32371,-14.157106,-13.923204,-13.623067,-13.25808,-12.829948,-12.340687,-11.792616,-11.19829,-10.564126,-9.872593,-9.125794,-8.334419,-7.506967,-6.640567,-5.745556,-4.823057,-3.809713,-2.99698,-2.412936,-1.74203,-0.702115,0.736142,1.906842,2.852455,3.857816,4.773076,5.688716,6.598382,7.409218,8.255587,9.004695,9.720213,10.408542,10.991842,11.5694,12.052682,12.476679,12.850785,13.129945,13.362243,13.511363,13.589595,13.595621,13.531897,13.387469,13.176079,12.899475,12.531738,12.130459,11.628804,11.078262,10.485151,9.789125,9.10052,8.311063,7.490063,6.662097,5.730292,4.845004,3.87798,2.89584,1.947876,0.908675,-0.052512,-1.060919,-2.067755,-3.00268,-4.002154,-4.903712,-5.810118,-6.696706,-7.485469,-8.300311,-9.010503,-9.68491,-10.318977,-10.847176,-11.356588,-11.766858,-12.111996,-12.394671,-12.583556,-12.710303,-12.752741,-12.719249,-12.60203,-12.421095,-12.145259,-11.805281,-11.400266,-10.895185,-10.368384,-9.732775,-9.054506,-8.341869,-7.522601,-6.726999,-5.832448,-4.915347,-4.00743,-3.000369,-2.05755,-1.047232,-0.033808,0.924792,1.958845,2.899345
第205节龙身y (m),4.92491,5.859742,6.770897,7.654817,8.508037,9.327203,10.109081,10.850576,11.548738,12.200782,12.804092,13.356239,13.854987,14.298305,14.684376,15.011605,15.278626,15.484309,15.627768,15.708363,15.725702,15.679652,15.570331,15.398116,15.16364,14.86779,14.511707,14.096782,13.624651,13.097189,12.516505,11.884936,11.205033,10.47956,9.711474,8.903922,8.060225,7.183867,6.278477,5.347821,4.395781,3.426344,2.443583,1.45164,0.454711,-0.542974,-1.537166,-2.52362,-3.498105,-4.456432,-5.394465,-6.308141,-7.193491,-8.046652,-8.863891,-9.641615,-10.376396,-11.064976,-11.704294,-12.291491,-12.823929,-13.299203,-13.715151,-14.069869,-14.361716,-14.589326,-14.751617,-14.847791,-14.877349,-14.840087,-14.7361,-14.565787,-14.329849,-14.029285,-13.665392,-13.239762,-12.754273,-12.211084,-11.612626,-10.961595,-10.260936,-9.513835,-8.723706,-7.894171,-7.029052,-6.132348,-5.20822,-4.260973,-3.295033,-2.314933,-1.325284,-0.330762,0.663922,1.654038,2.634863,3.601702,4.549913,5.474929,6.372279,7.237612,8.066719,8.843461,9.564934,10.251502,10.897113,11.490406,12.025152,12.50305,12.918131,13.270017,13.574561,13.760436,13.863202,13.950266,14.020969,13.991425,13.857422,13.675034,13.405111,13.087137,12.694678,12.223887,11.728226,11.123406,10.501111,9.815242,9.051372,8.302459,7.438966,6.587274,5.697218,4.735474,3.82864,2.818413,1.84473,0.867323,-0.167929,-1.114998,-2.138211,-3.106579,-4.041749,-5.012577,-5.874346,-6.772745,-7.604696,-8.372333,-9.145728,-9.804898,-10.456,-11.034365,-11.530499,-11.99732,-12.360424,-12.675373,-12.913983,-13.070681,-13.162321,-13.173817,-13.110297,-12.968407,-12.764061,-12.464165,-12.116242,-11.685425,-11.176202,-10.63978,-9.988876,-9.325106,-8.591272,-7.782678,-6.991079,-6.082826,-5.194661,-4.267014,-3.274363,-2.342888,-1.311896,-0.327793,0.65467,1.684063,2.617119,3.614627,4.546578,5.435209,6.343508,7.136294,7.946441,8.680321,9.339169,9.982664,10.510656,11.007058,11.422232,11.74931,12.022434,12.197896,12.303486,12.325696,12.269844,12.124444,11.912654
第206节龙身x (m),-15.743532,-15.489904,-15.176786,-14.805329,-14.376914,-13.893145,-13.355848,-12.767064,-12.129039,-11.444222,-10.715251,-9.944946,-9.136299,-8.292464,-7.416743,-6.512575,-5.583522,-4.633257,-3.665551,-2.684254,-1.693284,-0.696611,0.301761,1.297807,2.287499,3.266822,4.23179,5.178463,6.102961,7.001486,7.870329,8.705896,9.504714,10.263452,10.978935,11.648154,12.268283,12.836694,13.350961,13.80888,14.208473,14.548004,14.825979,15.041163,15.192579,15.279518,15.301543,15.258491,15.150476,14.977889,14.7414,14.441955,14.080776,13.659351,13.179438,12.643051,12.052458,11.410169,10.71893,9.981709,9.201685,8.382236,7.526926,6.63949,5.723815,4.783928,3.823979,2.848219,1.860985,0.86668,-0.130246,-1.125316,-2.114047,-3.091968,-4.054642,-4.997688,-5.916797,-6.807755,-7.666463,-8.488957,-9.271423,-10.010222,-10.701901,-11.343216,-11.931145,-12.462904,-12.935962,-13.348054,-13.697194,-13.981684,-14.200125,-14.351428,-14.434815,-14.449831,-14.396345,-14.27455,-14.08497,-13.828455,-13.50618,-13.119643,-12.670655,-12.169819,-11.623157,-11.015596,-10.348516,-9.63121,-8.871384,-8.066367,-7.225715,-6.350482,-5.379577,-4.594115,-4.026089,-3.369978,-2.345506,-0.913718,0.264615,1.225123,2.255291,3.201686,4.157296,5.116294,5.980165,6.892341,7.710108,8.502179,9.276654,9.94518,10.621816,11.203577,11.731213,12.218071,12.604226,12.956458,13.221886,13.417558,13.548719,13.600146,13.580866,13.488647,13.327833,13.081085,12.787923,12.399775,11.955154,11.460567,10.864704,10.262326,9.559006,8.81556,8.055174,7.188235,6.354722,5.434221,4.489324,3.568216,2.548529,1.59629,0.587853,-0.428823,-1.381987,-2.411202,-3.349353,-4.302799,-5.246539,-6.096753,-6.987412,-7.776006,-8.538113,-9.269848,-9.89456,-10.515668,-11.036055,-11.49707,-11.904657,-12.211574,-12.469858,-12.638712,-12.732266,-12.749073,-12.690452,-12.546295,-12.330251,-12.044297,-11.661903,-11.243108,-10.7189,-10.142611,-9.522587,-8.79501,-8.075856,-7.254593,-6.400388,-5.54375,-4.581793,-3.670634,-2.683348,-1.681929,-0.724457,0.319749,1.280144
第206节龙身y (m),3.337831,4.303763,5.25207,6.179068,7.081145,7.954772,8.796522,9.603082,10.371265,11.098024,11.780467,12.415865,13.001667,13.535509,14.015226,14.43886,14.804671,15.111142,15.35699,15.541168,15.662874,15.721555,15.716909,15.648889,15.517704,15.323819,15.067956,14.75109,14.374449,13.939509,13.447991,12.90185,12.303277,11.654681,10.958691,10.218136,9.436042,8.615617,7.760239,6.873444,5.958909,5.020443,4.061965,3.087494,2.101126,1.107026,0.109401,-0.88751,-1.879457,-2.8622,-3.83152,-4.783245,-5.713264,-6.617543,-7.49215,-8.333266,-9.137204,-9.900428,-10.619567,-11.291431,-11.913026,-12.48157,-12.994505,-13.449509,-13.844508,-14.177689,-14.447506,-14.65269,-14.792257,-14.865513,-14.87206,-14.811798,-14.684926,-14.491949,-14.23367,-13.911193,-13.525915,-13.079529,-12.57401,-12.011612,-11.394857,-10.726529,-10.009656,-9.247504,-8.44356,-7.601515,-6.725252,-5.818828,-4.886455,-3.932478,-2.961363,-1.977669,-0.98603,0.008865,1.002299,1.989543,2.965885,3.926648,4.867217,5.783057,6.669741,7.509808,8.299646,9.061525,9.789208,10.470193,11.097323,11.672631,12.189002,12.645941,13.066598,13.346116,13.516451,13.681412,13.87344,14.012859,14.017396,13.947593,13.798065,13.590358,13.308886,12.949085,12.553033,12.052955,11.524119,10.928298,10.251926,9.577997,8.789737,8.002025,7.169217,6.259341,5.392648,4.417738,3.469138,2.50833,1.481404,0.53359,-0.499584,-1.486455,-2.448322,-3.456711,-4.360991,-5.313942,-6.206998,-7.04152,-7.894477,-8.633272,-9.376585,-10.051737,-10.646283,-11.224726,-11.694653,-12.127089,-12.485835,-12.759233,-12.979624,-13.110962,-13.173956,-13.159201,-13.073665,-12.901628,-12.669839,-12.35661,-11.963296,-11.53083,-10.988273,-10.419874,-9.777593,-9.056188,-8.338307,-7.502458,-6.673995,-5.798147,-4.849922,-3.950411,-2.944283,-1.973848,-0.995279,0.040628,0.989254,2.014105,2.982319,3.91609,4.882465,5.737238,6.623543,7.439947,8.186605,8.9322,9.560348,10.170396,10.703099,11.147463,11.551693,11.85082,12.089889,12.246973,12.31961,12.313825,12.229967
第207节龙身x (m),-16.029943,-15.876531,-15.662242,-15.387841,-15.054327,-14.66293,-14.215109,-13.712546,-13.157142,-12.55101,-11.896468,-11.19603,-10.4524,-9.668458,-8.847253,-7.991992,-7.106025,-6.192836,-5.256026,-4.299304,-3.32647,-2.341398,-1.348026,-0.350338,0.647655,1.641924,2.628444,3.603209,4.562247,5.501639,6.41753,7.306152,8.163835,8.987025,9.772297,10.516374,11.216135,11.868636,12.471118,13.02102,13.515994,13.953913,14.332883,14.651249,14.907608,15.100813,15.229981,15.294495,15.294014,15.22847,15.098073,14.903312,14.644951,14.324033,13.941872,13.500051,13.000415,12.445069,11.836364,11.176893,10.469478,9.717163,8.923197,8.091022,7.224263,6.326709,5.402295,4.455094,3.48929,2.509166,1.519083,0.523461,-0.473239,-1.466537,-2.451953,-3.425028,-4.381341,-5.316536,-6.226335,-7.106565,-7.953171,-8.76224,-9.530019,-10.252933,-10.927599,-11.550851,-12.119747,-12.631593,-13.083947,-13.474643,-13.801792,-14.063801,-14.259379,-14.387544,-14.447631,-14.439297,-14.362523,-14.217618,-14.005221,-13.726293,-13.382124,-12.981228,-12.52916,-12.0135,-11.434896,-10.801126,-10.119004,-9.386098,-8.61106,-7.794864,-6.879512,-6.131972,-5.587692,-4.955326,-3.96032,-2.5547,-1.385032,-0.422976,0.617627,1.581896,2.564032,3.55881,4.463456,5.428434,6.303145,7.160367,8.009783,8.753809,9.519622,10.191294,10.814742,11.407068,11.894384,12.36116,12.738759,13.048738,13.302817,13.468365,13.574215,13.602238,13.559314,13.436921,13.255976,12.98685,12.654547,12.265667,11.778693,11.271427,10.664685,10.009896,9.32851,8.539528,7.77044,6.910501,6.01733,5.137263,4.15287,3.224382,2.231664,1.221102,0.264725,-0.77793,-1.737742,-2.72298,-3.708705,-4.606637,-5.558649,-6.412769,-7.250063,-8.067376,-8.77821,-9.500609,-10.122323,-10.691353,-11.216817,-11.636388,-12.021581,-12.313707,-12.532401,-12.682588,-12.746928,-12.736511,-12.647705,-12.485323,-12.23177,-11.927818,-11.523664,-11.058958,-10.541963,-9.91839,-9.287934,-8.554039,-7.777464,-6.986964,-6.086892,-5.223375,-4.276533,-3.304876,-2.365599,-1.329952,-0.366966
第207节龙身y (m),1.712879,2.6997,3.675101,4.635313,5.576614,6.495343,7.387916,8.250838,9.08072,9.874292,10.628414,11.340092,12.006489,12.624937,13.192948,13.708228,14.168682,14.572427,14.917799,15.203362,15.427915,15.590496,15.690387,15.727124,15.700493,15.610535,15.457547,15.242085,14.964958,14.627229,14.230214,13.775473,13.264809,12.700259,12.084091,11.418792,10.707059,9.951792,9.156082,8.323194,7.456565,6.55978,5.636563,4.690761,3.726331,2.74732,1.757848,0.762097,-0.235712,-1.231338,-2.220532,-3.199058,-4.162713,-5.107346,-6.028869,-6.923283,-7.786695,-8.615328,-9.405548,-10.153874,-10.856996,-11.511793,-12.115342,-12.664937,-13.158102,-13.5926,-13.966446,-14.27792,-14.525569,-14.708225,-14.825002,-14.87531,-14.858852,-14.775632,-14.625956,-14.410431,-14.129964,-13.785762,-13.379324,-12.91244,-12.387183,-11.8059,-11.171204,-10.485964,-9.753291,-8.976527,-8.15923,-7.30516,-6.41826,-5.50264,-4.56256,-3.602406,-2.626677,-1.639959,-0.646904,0.347788,1.339396,2.323198,3.294494,4.248628,5.181013,6.073105,6.92064,7.74749,8.547323,9.306666,10.017534,10.682273,11.292722,11.84828,12.379069,12.748209,12.983634,13.224059,13.534505,13.840586,13.983286,14.02678,13.999453,13.904656,13.737849,13.493827,13.202719,12.814187,12.386067,11.888528,11.309062,10.719547,10.017608,9.305015,8.541289,7.696274,6.882153,5.956607,5.046823,4.116581,3.112978,2.178319,1.150403,0.15963,-0.81464,-1.845537,-2.778769,-3.771917,-4.712559,-5.601272,-6.52075,-7.327816,-8.151851,-8.91329,-9.596943,-10.277884,-10.847161,-11.390139,-11.863182,-12.248753,-12.594148,-12.842978,-13.031179,-13.143463,-13.177776,-13.135981,-13.023689,-12.832713,-12.561265,-12.239387,-11.813583,-11.349436,-10.808818,-10.186038,-9.553323,-8.803286,-8.047892,-7.23805,-6.349715,-5.49691,-4.532221,-3.591523,-2.633129,-1.608032,-0.659779,0.375106,1.363146,2.326122,3.333998,4.236014,5.183107,6.067792,6.889156,7.723681,8.44081,9.153567,9.794165,10.347692,10.875545,11.292703,11.660632,11.949407,12.148863,12.282389,12.327591
